AnoMes,qtdCartoesEmitidos,qtdCartoesAtivos,qtdTransacoesNacionais,valorTransacoesNacionais,qtdTransacoesInternacionais,valorTransacoesInternacionais
2011-04,1068968,39548,182737,1584337595.0,10,103919.0
2011-04,898651,405885,7115512,48594848722.0,4531,108927654.0
2011-04,170766,91412,1839944,18451207003.0,12,128385.0
2011-04,49356,19712,286086,2703275023.0,1675,406684466.0
2011-04,3244,1518,35057,928323283.0,4964,338984221.0
2011-04,4891026,1430340,12985063,118067919528.0,4538,21514088.0
2011-04,2790,2168,4588,30290594.0,0,0.0
2011-04,2555673,748436,80223,914247777.0,0,0.0
2011-04,25096,13437,194091,951897146.0,0,0.0
2011-04,240440,154434,6296229,108218689298.0,421045,19365557827.0
2011-04,2775183,1121968,26978788,162845875379.0,0,0.0
2011-04,1211794,248726,587208,12046279038.0,0,0.0
2011-04,23567329,11921660,122289463,833469282636.0,87783,571710998.0
2011-04,1375304,318223,1875776,11815617031.0,0,0.0
2011-04,1779224,41171,464212,3743483725.0,0,0.0
2011-04,1137395,388333,5977525,6667731625.0,1,2949.0
2011-04,1281929,876898,8633278,70211503601.0,64,22503581.0
2011-04,8817922,3658815,48085855,278581063586.0,0,0.0
2011-04,630311,178187,930995,7782723062.0,0,0.0
2011-04,424265,154827,33307,1539268988.0,0,0.0
2011-04,371609,256233,15377311,247302851118.0,862362,30943478611.0
2011-04,9411959,4345990,37589612,425770268053.0,0,0.0
2011-04,184713,85110,2065411,12040501845.0,218127,13246076017.0
2011-04,6701665,4353396,96202795,1136572496472.0,3059863,68835810837.0
2011-04,134,78,3132,128453346.0,151,8022535.0
2011-04,12865,5782,142898,1352821404.0,6113,131594218.0
2011-04,246487,163765,5620265,90094726712.0,341330,928422959.0
2011-04,473822,125725,1621341,1950842005.0,1045,42589899.0
2011-04,700017,25220,157310,481497623.0,0,0.0
2011-04,2430818,1319600,18981245,171253108053.0,782210,19059481462.0
2011-04,100771269,35435864,375236369,2144417275871.0,153652,333313903.0
2011-04,70275,0,18,11266.0,0,0.0
2011-04,8393198,5048847,52034085,565944176999.0,0,0.0
2011-04,525018,308988,6924265,94254713604.0,318569,6637162629.0
2011-04,6857,224,1790,33825572.0,10,777534.0
2011-04,43885,8781,266690,21023050909.0,7755,438643947.0
2011-04,253540,125013,346323,174409645212.0,15550,810384484.0
2011-04,249217,152332,5432725,93101426138.0,350561,10350647859.0
2011-04,154533,13710,209790,3623915633.0,7902,386632665.0
2011-04,491084,238525,3254579,143197978564.0,171919,858376151.0
2011-04,1226850,743676,16434961,132236154395.0,25,170541.0
2011-04,1613566,640757,9052381,172459045874.0,295834,13637537831.0
2011-04,341864,67613,383511,2200408331.0,0,0.0
2011-04,17080038,8795801,123969186,1048854796216.0,2225176,30719697087.0
2011-04,45256,8082,125960,711833115.0,1,1944.0
2011-04,128962328,39920381,459414491,2626128409256.0,202117,2344032663.0
2011-04,51073,24842,631240,24546135122.0,28671,1686322523.0
2011-04,1121478,641925,7551293,85714033689.0,169995,2776560094.0
2011-04,788087,316545,4612071,93733926598.0,152735,7109618585.0
2011-04,21919,10593,134002,1435417029.0,2801,32039516.0
2011-04,2096562,754436,10386258,58396140115.0,226,4429044.0
2011-04,14786285,7383167,76970495,626766768812.0,9930,49080646.0
2011-04,7999,3940,187549,5484125334.0,31046,1731873643.0
2012-01,8264229,5092622,45776533,48970541446.0,0,0.0
2012-01,1254073,780617,16343289,127830867783.0,32,330761.0
2012-01,1136985,434208,6170763,66752847594.0,5,5508.0
2012-01,10164529,4006884,25753432,242529557148.0,23946,109604776.0
2012-01,530153,192026,43394,2142292248.0,0,0.0
2012-01,695909,423480,9697995,145680843403.0,922497,38991612444.0
2012-01,1030010,483919,5740065,3029344692.0,50067,407132961.0
2012-01,3799922,2430071,80217899,992875006664.0,3314732,75315236627.0
2012-01,235133,160995,5203947,81803071705.0,359250,9185891261.0
2012-01,52348,26477,605778,23063403719.0,26808,1502631608.0
2012-01,28193,20570,676208,1130320602.0,28315,869481114.0
2012-01,183171,22179,377651,647271116.0,12711,604699838.0
2012-01,1004620,690618,7238495,5886573789.0,44,25864779.0
2012-01,2069803,763676,9543541,52054426319.0,121,2093799.0
2012-01,171626,93614,1796869,17747235295.0,14,130684.0
2012-01,35904,0,12,154461.0,0,0.0
2012-01,263258,132475,307301,157237779834.0,10124,54542228.0
2012-01,50313,14717,307848,1621658436.0,498,11915525.0
2012-01,48131,17587,254239,2401396675.0,2135,551774932.0
2012-01,374208,271967,3286638,5496691697.0,117644,3564172249.0
2012-01,3041766,1746410,42797265,56409041004.0,1890036,42982038861.0
2012-01,12341189,7464796,95564841,910956149444.0,1868990,2220320267.0
2012-01,4524279,1441135,12095661,105166811336.0,8893,38432239.0
2012-01,134433486,35128577,439089015,2444773483705.0,209388,2266131449.0
2012-01,1355951,315708,1513283,8372364647.0,0,0.0
2012-01,793562,315186,4431307,90615418633.0,160738,6687190752.0
2012-01,12593,5690,142024,1345777685.0,7002,142939736.0
2012-01,16568766,8469905,120276999,1085507773478.0,2453034,30054934997.0
2012-01,26257,14013,200166,960236199.0,0,0.0
2012-01,7659319,4896409,92040606,1116964055498.0,3345850,67931992274.0
2012-01,1248119,700747,12896102,93068391599.0,3,28707.0
2012-01,6842827,4248808,65418170,797080005252.0,2067788,38541373073.0
2012-01,42373,19376,143137,1425023513.0,3139,3197795.0
2012-01,1130438,188442,402013,7249930957.0,0,0.0
2012-01,9203516,4110276,34699486,362864500691.0,3,116561.0
2012-01,5062853,2405656,20545229,190108139322.0,7255,75395398.0
2012-01,904257,439270,5860751,42585857602.0,13972,366194207.0
2012-01,2449020,1345352,19548474,175385349286.0,835340,2023993266.0
2012-01,1093850,42243,190814,157726331.0,30,616569.0
2012-01,6857,57,551,11208075.0,5,71579.0
2012-01,595039,174566,999970,8581398431.0,0,0.0
2012-01,640,324,5613,137591596.0,314,48483543.0
2012-01,183233,86786,1700558,97377243664.0,177760,11378092958.0
2012-01,1085963,640508,7102248,78098902315.0,178768,2699200042.0
2012-01,540951,313642,6287534,86402463543.0,306580,6572279171.0
2012-01,135841,66597,650253,5717316142.0,8162,245924117.0
2012-01,86,36,5823,37189322.0,0,0.0
2012-01,214494,148370,4989411,83948220493.0,368603,10284424546.0
2012-01,111280246,30314189,382231722,2066638127881.0,196980,3957109672.0
2012-01,491888,237803,3009959,122428016365.0,157307,7361583001.0
2012-01,12031,7562,121987,978462433.0,1,31414.0
2012-01,117,60,1670,77514375.0,37,1165803.0
2012-01,2553645,754201,43975,659915551.0,0,0.0
2012-01,5964106,3859341,21420342,223252406669.0,1,1.0
2012-01,8520314,3752115,45951543,259580368902.0,3,106297.0
2012-01,29559,7988,111764,1035030632.0,4051,90126525.0
2012-01,1618915,623057,8646303,165913830879.0,294410,13031499287.0
2012-01,1771612,36139,402672,3219347978.0,0,0.0
2012-01,8246,4137,184932,5217717388.0,37608,2047443209.0
2012-01,46885,10592,253304,22451750132.0,7032,378002825.0
2012-01,884980,402796,6483831,43040950243.0,4065,87271903.0
2012-01,2112630,1192257,6538191,61258139566.0,32964,383467596.0
2012-01,22597228,11469204,114342054,775484423057.0,114661,787593424.0
2012-01,476003,294739,6214497,83544709807.0,317434,6194827138.0
2012-01,2537550,278613,1448798,6616456753.0,0,0.0
2012-01,3962,1766,39407,102888444.0,5796,349179597.0
2012-01,42937,8663,132285,709121612.0,0,0.0
2012-01,1181522,532504,6382516,66153620527.0,165900,2223259504.0
2012-01,256064,161315,6820622,119723783947.0,540839,22450479758.0
2012-01,389588,270083,15707717,249238276414.0,972652,33557652804.0
2012-01,248618,25494,148300,79051310.0,0,0.0
2012-01,537472,140974,896714,4882594448.0,0,0.0
2012-01,458480,125448,1503921,17528799214.0,975,41727447.0
2012-01,2857705,1147974,24147811,141855639071.0,0,0.0
2012-01,14595263,7465746,72850534,580915610317.0,9184,42048287.0
2012-02,48679,16476,270983,255124594.0,1656,336615926.0
2012-02,622,317,5036,131543815.0,224,15765183.0
2012-02,420751,292376,16620829,269127509761.0,1010661,3602217794.0
2012-02,688197,430543,9697384,145425226358.0,849859,34241267755.0
2012-02,212789,147226,5243029,9007957876.0,357516,10635212481.0
2012-02,1160381,535964,6789473,70510339812.0,166445,231888025.0
2012-02,2423683,1305074,18795993,166783084005.0,797022,18453918404.0
2012-02,8261616,5022489,48197209,514722332895.0,0,0.0
2012-02,21665418,11247122,118833248,813889582535.0,119934,750050484.0
2012-02,1154979,463608,6492889,71071945645.0,0,0.0
2012-02,451941,286992,6368504,85706161042.0,310288,6484336251.0
2012-02,3185554,1881076,46234895,60955588965.0,1997105,46410492693.0
2012-02,4359923,730579,1448798,6616456753.0,0,0.0
2012-02,362841,264583,3495679,5877765577.0,99008,3572843794.0
2012-02,3935364,2584528,85699218,1063197471082.0,3467742,81723454473.0
2012-02,184198,87120,2154903,124814617533.0,218226,13943226376.0
2012-02,995523,467746,5885117,31018275375.0,53288,424011849.0
2012-02,15204914,7640211,79406946,637497166804.0,8448,37670333.0
2012-02,1104032,158319,361781,6159139208.0,0,0.0
2012-02,5238281,2548876,23499274,214346481042.0,8644,88889601.0
2012-02,8761568,3929219,37291297,378586797614.0,3,12089.0
2012-02,573213,331980,6718909,91369372579.0,307205,6728840843.0
2012-02,58702,19762,352294,1789118698.0,458,10254417.0
2012-02,7444424,4978495,97449977,1183181235281.0,3353158,72010054354.0
2012-02,1399078,335281,1509342,837867805.0,0,0.0
2012-02,852251,397897,6278049,4158724927.0,3860,87095426.0
